str1,str2
\left\{a_{n}\right\},\left\{a_{n}\right\}
x-y-2=0,\ln |x-y|<0
\triangle B P D,\sqrt{3}+1
2 \sqrt{6} \pi,\ln |x-y|<0
"m=4, n=2",\ln |x-y|<0
C_{1},(x)
\triangle A D P,\triangle A B C
t+1,c<\frac{1}{4}
A-P B-C,\ln |x-y|<0
"[-7,7]",m / / n
"[182,187]","[60,70]"
M \cap N=M,A C \perp B C
\triangle P A C,\triangle A B C
f(x),f(x)
"(-1,-2)",\ln |x-y|<0
f(x)=x,y=\sin x
C_{2},"(-\infty, a)"
\triangle A B C,\triangle A B C
x>0,z=x
x>\frac{5}{4},-\frac{\pi}{6}
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x),f(x)
"x, y",\left\{a_{n}\right\}
y=\tan 2 x,\ln |x-y|<0
b<a<c,\ln |x-y|<0
\tan \beta=,\ln |x-y|<0
H_{1}(x),"(0,1)"
B F,\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
f(x),(x)
A D_{1},A C=4
-x_{0},\boldsymbol{e}_{1}
\triangle A B C,\triangle A B C
D(Y)=7.2,60 \sim 65
\frac{2}{3},\frac{16}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
l_{2},\left\{a_{n}\right\}
4 \overrightarrow{() M},\ln |x-y|<0
f(1),f(x)
\frac{1}{9},\boldsymbol{F}_{1}
\pi,T_{n}
"B(1,2)","(-\infty, a)"
y^{2}=8 x,8=x \%
\text { ( } D,\sqrt{3}
A B C,\left\{a_{n}\right\}
z=y-,y=x
f(x)<6,A C=4
y=f(x),60 \sim 65
\left\{a_{n}\right\},\left\{a_{n}\right\}
x>,y=0
q(n),"(-\infty, a)"
|r|,\boldsymbol{e}_{1}
S_{2012}=,\ln |x-y|<0
=4 x,c<\frac{1}{4}
\frac{\varepsilon}{4},\frac{16}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\triangle B D C,\sqrt{3}+1
f(-2),\ln |x-y|<0
S=1,\sqrt{3}
S_{n}=,a_{i}=
3^{\prime \prime},\frac{16}{3}
P B=\sqrt{6},"(-\infty, a)"
b<c<a,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
A_{1},\boldsymbol{F}_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
a \cap b=A,\triangle B C C
\log _{2} 3,\ln |x-y|<0
60^{\circ},"(-\infty, a)"
3+i,c<\frac{1}{4}
m>0,\sqrt{3}+1
i>n ?,c<\frac{1}{4}
\triangle A B C,\triangle A B C
S_{n},\frac{16}{3}
c=\sqrt{3},\ln |x-y|<0
y=f(x),\triangle B P Q
\overrightarrow{A C},T_{n}
90^{\circ},60 \sim 65
"\{0,3\}","(-\infty, a)"
m,\left\{a_{n}\right\}
f^{\prime}(x),"(0,1)"
t=f(x),60 \sim 65
\omega=(,5(3+\sqrt{3})
n=,y=x
x() y,f(x)
B D,\sqrt{3}
\left\{S_{n}\right\},\left\{a_{n}\right\}
a_{2},\frac{\pi}{3}
"[-3,3]",\triangle B C
\overline{\boldsymbol{z}},-\frac{3}{2}
\alpha,S_{5}
3-4 S_{n},60 \sim 65
1-\frac{\pi}{4},-\frac{\pi}{6}
C_{n},\frac{\pi}{3}
S_{n},\left\{a_{n}\right\}
b<a<c,c<\frac{1}{4}
A \cap B,\triangle A B C
"(0,+\infty)",\ln |x-y|<0
S_{k}<6 k,"(-\infty, a)"
I_{3 C},T_{n}
b>a>c,c<\frac{1}{4}
P F / /,\sqrt{3}
a=2,S_{5}
a \geqslant 2 \cos 1,\ln |x-y|<0
n,\left\{a_{n}\right\}
f(x),f(x)
f(m)=f(n),"(-\infty, a)"
"(-\infty, \ln a)",\ln |x-y|<0
A_{2},\boldsymbol{e}_{1}
"[1, \mathrm{e}]","[1,3]"
f(x),f(x)
a \neq 1,A C=4
f(x)=0,y)
-e^{-x}-1,x_{1}
a_{2},\frac{16}{3}
\mid f(m)-,\ln |x-y|<0
\overrightarrow{A E}=,A C=4
"(-\infty,])","(-\infty, a)"
\sqrt{2},\sqrt{3}
a>0,>0
9 \pi,\boldsymbol{e}_{1}
f(1)=2,A C=4
g(-2),"(-\infty, a)"
\frac{1}{2},\frac{1}{3}
m=4,\left\{a_{n}
g(x),(x)
a_{8}=2,y=\sin x
"a=(2,1)","(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
r_{2},T_{n}
"C, D","(0,1)"
f(x),\ln |x)
M N,T_{n}
x=\frac{\pi}{3},e=\frac{2}{3}
-\frac{1}{3},-\frac{\pi}{6}
c(b-a)>0,\triangle A B C
"(0,2)","(0,1)"
A B C D,\triangle B C Q
\triangle A B C,\triangle A B C
B M+,\left\{a_{n}\right\}
T F,\sqrt{3}
"a, b, c",\left\{a_{n}\right\}
f(x),f(x)
b<c<a,\triangle A B C
P A,T_{n}
"[-2,2]",\left\{a_{n}\right\}
"(-\ln 2,+\infty)","[0,+1]"
\left\{a_{n}\right\},\left\{a_{n}\right\}
D_{1},\boldsymbol{e}_{1}
\triangle A B C,\triangle A B C
"[a, b]","(-\infty, a)"
\frac{3}{4},\frac{\pi}{3}
a>b>0,"(-\infty, a)"
"S, T",z=
x+y=0,x+y+8=x y
"[0,+\infty)",\ln |x-y|<0
F(x),f(x)
\mathbf{N}^{*},"[1,3]"
\text { 1) },F_{1}
"[-6,6]",\ln |x-y|<0
x=x+1,"[0,1]"
\frac{3}{16},\left\{a_{n}\right\}
P(\eta=2),\left\{a_{n}\right\}
(a+,\left\{a_{n}\right\}
g(x),f(x)
\triangle A B C,\triangle A B C
2-i,\sqrt{3}+1
\frac{1}{x},\frac{16}{3}
\frac{1}{3},\frac{\pi}{3}
\triangle A B C,\triangle A B C
"(2,+\infty)","(-\infty, a)"
p+q=1,a_{n}\right\}
D_{1},T_{n}
f(x),f(x)
S-A B C,\triangle A B C
a \neq 1),a_{n}\right\}
S_{n},\frac{\pi}{3}
"a>0, b>0",60 \sim 65
A F_{1},A D_{1}
\sqrt{3},\sqrt{3}
"(2,0)","(-\infty, a)"
\triangle A B P,\triangle A B C
f(x),f(x)
\frac{1}{3},\frac{1}{3}
-1,A D_{1}
"(0,+\infty)",60 \sim 65
\frac{4}{3} \pi,-\frac{\pi}{6}
a>1,x_{1}
x+y+m \geqslant 0,x+y+8=x y
P_{3},T_{n}
\frac{1}{5},\frac{16}{3}
a>b>0,60 \sim 65
A C=8,\triangle B P Q
f^{\prime}(x),f(x)
a b c=1,a_{n}\right\}
53 \%,\left\{a_{n}\right\}
\sqrt{2},\sqrt{3}
"(0,+\infty)","(0, a)"
c-x,c<\frac{1}
\sqrt{2} \sin A,\sqrt{3}+1
f(x),f(x)
y^{2}=x,c<\frac{1}{4}
P B=B C,\ln |x-y|<0
A E,\sqrt{3}+1
"[1,2)",\left\{a_{n}\right\}
\frac{1}{6},\frac{16}{3}
y=x+1,80 \%
x=1,"\{2,3,4\}"
g(x),(x)
"C, D","(-\infty, a)"
l_{2},\sqrt{3}+1
"(-(x), 1)",\left\{a_{n}\right\}
"(-1,0)","(-\infty, a)"
"A(4,-1)",A C=4
b_{1}=2,S_{2}
37.5,\sqrt{3}+1
"A(4, t)",\triangle B C C
b=\frac{1}{4},c<\frac{1}{4}
"k \in[-1,0]",\ln |x-y|<0
y=-1,c<\frac{1}{4}
\frac{1}{14},\frac{16}{3}
C_{1},S_{5}
\overrightarrow{A M}=,\sqrt{3}
n / / \beta,m / / n
l / / M N,m / / n
f(x),f(x)
|P A|,"\{2,3}"
\left\{a_{n}\right\},\left\{a_{n}\right\}
\mathbf{R},F_{2}
x+y \in \Lambda,A C=4
P(B)=,"(-\infty, a)"
a>0,>0
\triangle A B C,\triangle A B C
2 x-3 y=0,60 \sim 65
f(x),(x)
\triangle A B C,\triangle A B C
i=i+2,\sqrt{3}+1
a<b<c,A C=4
f(2020)=,\ln |x-y|<0
x-2 y+2=0,\left\{a_{n}\right\}
y=3 x,\ln |x-y|<0
45^{\circ},A D_{1}
Q C D,"(-\infty, a)"
\triangle A B P,\triangle A B C
z \cdot \bar{z}=,\left\{a_{n}\right\}
P E \perp F G,"(-\infty, a)"
V_{1},\boldsymbol{F}_{1}
3^{b}=18,\ln |x-y|<0
f(x),f(x)
f(x)>0,60 \sim 65
\pi,\boldsymbol{F}_{1}
P Q \perp y,"[0,+\infty)"
B-P D-C,\ln |x-y|<0
1000,"[60,70]"
i,\frac{1}{3}
\frac{3}{2},\frac{\pi}{3}
\varphi=,"[60,70]"
a * b,\left\{a_{n}\right\}
P-A B C D,\ln |x-y|<0
f(x) \in B,"(-\infty, a)"
d \neq 0,\triangle B C
"(0,3)","(0,1)"
\overrightarrow{P A},\boldsymbol{F}_{1}
S-A B C,\triangle A B C
\left\{a_{n}\right\},\left\{a_{n}\right\}
\varphi_{e_{2}},\triangle B C
|a x-2|<3,\ln |x-y|<0
"(0,1)","(0,1)"
f\left(x_{2}\right),f(x)
a>0,c_{1}
-\frac{3}{5},-\frac{3}{2}
"\{-1,0\}","(0,1)"
l: x+5=0,y=\sin x
y=f(x),(\rho \geqslant 0)
f(x)=,"(0,1)"
"(0,1]","(0,1)"
y^{2}=2 x,c<\frac{1}{4}
x() y,f(x)
\triangle A B C,\triangle A B C
f(5)>f(4),60 \sim 65
\Lambda_{1},A D_{1}
244 \pi,\triangle B P Q
A \subseteq[1,\left\{a_{n}\right\}
a=\frac{1}{2},c<\frac{1}{4}
g(x),(x)
"A B, B C",\ln |x-y|<0
"(1,+\infty)",\left\{a_{n}\right\}
4 \pi,\boldsymbol{F}_{1}
l_{1},\boldsymbol{F}_{1}
\triangle A B C,\triangle A B C
"[50,60)",-\frac{3}{2}
"(1,0)","(0,1)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(0,1)","(-\infty, a)"
\sqrt{3},\sqrt{3}+1
0.2,"(-\infty, a)"
x+4 y-4=0,\triangle B C=
|P()|,f(x)
"(0,+\infty)","(-\infty, a)"
M_{1},T_{n}
S_{n},S_{5}
"(0, \sqrt{a}]","(0,1)"
A B=,\sqrt{3}+1
g(x),(x)
12 \%,\left\{a_{n}\right\}
"\Lambda,",\boldsymbol{e}_{1}
k x+b,\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(-4,5)","(-\infty, a)"
\lambda,A D_{1}
\frac{1}{k},\frac{16}{3}
\bar{y}=,\ln |x-y|<0
\sqrt{6},\sqrt{3}
S_{n},T_{n}
\tan \alpha=3,\left\{a_{n}\right\}
"Q(a,-2 a)","(-\infty, a)"
f(x),f(x)
1+\sqrt{3},\sqrt{3}+1
0<\alpha<\pi,60 \sim 65
10 a^{2},\left\{a_{n}\right\}
f(x),f(x)
"a>b, c>d",60 \%
[\lg 99]=1,"[1,3]"
f(x),f(x)
"(1, \sqrt{2}]","(-\infty, a)"
\lambda,\boldsymbol{e}_{1}
"B(1,0)","[60, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x)=0,y+5=0
4 \sqrt{6} \pi,\sqrt{3}+1
e+2,z=
\left\{a_{n}\right\},\left\{a_{n}\right\}
"a, b",\left\{a_{n}\right\}
\frac{9}{4},\frac{16}{3}
f(x)>0,60 \sim 65
"(0,2]","(-\infty, a)"
\overrightarrow{O C},60 \sim B C
c<a<b,60 \sim 65
S_{n},\frac{16}{3}
a \geqslant 7,m / / n
\triangle A B C,\triangle A B C
k \geqslant N ?,(x)
b_{m},T_{n}
y_{0},"(-\infty, a)"
-1),\triangle B P Q
f(x),f(x)
""" x \in B """,\left\{a_{n}\right\}
f(3)=,\sqrt{3}+1
y=f(x),y=f(x)
g(x),"(0,1)"
y=f(x),y+5=0
C_{1},S_{5}
\left\{a_{n}\right\},\left\{a_{n}\right\}
x<y,A C=4
f(x),f(x)
\pm 4,\boldsymbol{e}_{1}
\alpha,\boldsymbol{e}_{1}
y=,y=x
45^{\circ},\sqrt{3}+1
\frac{1}{6},\boldsymbol{F}_{1}
b^{2}+a c,\triangle B P Q
\triangle A B C,\triangle B P Q
P \Lambda \perp A C,A C=4
l: y=x,y=f(x)
f(2017)=,\sqrt{3}+1
F_{2},\frac{1}{3}
\lg m>\lg n,\ln |x-y|<0
\cos \beta,60 \sim 65
3^{2},\frac{16}{3}
\cos 2 \omega x,\ln |x-y|<0
"(1, A)","(-\infty, a)"
S_{n}=,a_{i}=
\frac{3}{5},\frac{\pi}{3}
a \neq 0,\sqrt{3}+1
"B(3,5)",\ln |x-y|<0
=60^{\circ},\triangle B C
y=2^{|x|},\left\{a_{n}\right\}
\frac{\pi}{3},\frac{\pi}{3}
\triangle E C A,\triangle B P Q
n \perp \alpha,\left\{a_{n}\right\}
y=f(x),60 \sim 65
f(x),f(x)
a+b+c=1,"[60, y+1]"
\frac{1}{2},\frac{1}{3}
a_{n},\left\{a_{n}\right\}
\sqrt{3}+1,\sqrt{3}+1
\omega=2,a_{i}=
\tan C=,\ln |x-y|<0
B=60^{\circ},60 \sim 65
A B C D,\triangle A B C
y=-x,a_{i}=
\pi,\boldsymbol{e}_{1}
"P(2,3)",60 \sim 65
B=|x| 3-,\ln |x-y|<0
S_{n}=n-,\ln |x-y|<0
C_{m}^{n},\left\{a_{n}\right\}
x+y,c<\frac{1}{4}
"[1,+\infty)",c<\frac{1}{4}
\left\{a_{n}\right\},\left\{a_{n}\right\}
2 \sqrt{5},\sqrt{3}+1
"A(0,-1)",\ln |x-y|<0
B C=5,60 \sim 65
\lambda,T_{n}
"(1,+\infty)",\left\{a_{n}\right\}
b+c+d,c<\frac{1}{4}
\omega>0),"(-\infty, a)"
2 \pi,S_{5}
a_{2017},\ln |x-y|<0
\text { BI) },\left\{a_{n}\right\}
a_{1}=,\neg p
y=\ln (2+x),\ln |x-y|<0
f(2019)=,\ln |x-y|<0
8 \sqrt{3},\sqrt{3}+1
-\frac{1}{2},\frac{\pi}{3}
"(-\infty,-1)",\left\{a_{n}\right\}
a_{9},S_{5}
"(-1,2)","(-\infty, a)"
"[96,98)",\ln |x-y|<0
\beta,\sqrt{3}
a_{1}=,a_{i}=
T_{n},A C=4
"[-2,4]",\sqrt{3}+1
"(\pi, 0)","(0,1)"
\frac{1}{2},\frac{\pi}{3}
a=8,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(0, b)","(0,1)"
"(-\infty,-2]",c<\frac{1}{4}
\text { AIS },T_{n}
+4,\boldsymbol{e}_{1}
f(2019)=,60 \sim 65
m / / \beta,m / / n
x \in \mathbf{R},c<\frac{1}{4}
E(X)=,5(3+\sqrt{3})
"(1, f(1))","[60, t+1]"
\lambda,\boldsymbol{F}_{1}
n=a+b+c+d,\left\{a_{n}\right\}
x=0,"(0,1)"
\sqrt{2},\sqrt{3}
\neg p,F_{1}
A D=2,\ln |x-y|<0
n=2 m,\left\{a_{n}\right\}
B M D,"[t, B C"
C_{1},"[60, a"
f(x),f(x)
\alpha+\beta,\sqrt{3}+1
a=3^{0.7},60^{\circ}
\lambda=,A D_{1}
f(x),f(x)
\left\{a_{n}\right\},\left\{a_{n}\right\}
c \geqslant 0,\sqrt{3}
\frac{\pi}{6},\frac{16}{3}
\overrightarrow{O M},60 \sim 65
\sqrt{3} a,\sqrt{3}+1
\left\{a_{n}\right\},\left\{a_{n}\right\}
k(k \geqslant 3),A C=4
\overrightarrow{O C}=,y=\sin x
\triangle A B C,\triangle B P Q
S_{n},\sqrt{3}
x_{0},T_{n}
f(x),f(x)
x_{1}=a,c<\frac{2}{3}
Q A \perp,\triangle B P Q
x=20,\ln |x-y|<0
16+20 \pi,\ln |x-y|<0
h(a),(x)
\mid b+a t,\left\{a_{n}\right\}
B_{1},\boldsymbol{F}_{1}
0.430,60 \sim 65
\frac{8}{5},\frac{16}{3}
\triangle A M N,\triangle A B C
"B=\{2,3,",\ln |x-y|<0
A-B C D,\sqrt{3}+1
S_{n},\left\{a_{n}\right\}
\sin \theta,\ln |x-y|<0
f(x),f(x)
a_{1}=1,"[0,1]"
\hat{y}_{i},"(-\infty, a)"
B D=5,5(3+\sqrt{3})
\frac{1}{3},\frac{1}{3}
P_{11},T_{n}
A \cap B=,\triangle A B C
